CO2.ppm,GlobalTempAnomaly.hC
315.97,5.96
316.91,2.04
317.64,7.75
318.45,8.88
318.99,10.68
319.62,-14.95
320.04,-7.8
321.38,-2.27
322.16,-1.31
323.04,-2.96
324.62,9.29
325.68,3.72
326.32,-7.83
327.45,2.64
329.68,16.41
330.18,-7.19
331.11,0.34
332.04,-7.92
333.83,19.78
335.4,11.23
336.84,22.73
338.75,26.37
340.11,29.99
341.45,18.15
343.05,34.11
344.65,14.9
346.12,13.42
347.42,22.96
349.18,36.96
351.57,37.57
353.12,29.7
354.39,43.28
355.61,40.55
356.45,25.71
357.1,28.53
358.83,34.09
360.82,45.77
362.61,32.28
363.73,51.87
366.7,63.44
368.38,44.38
369.55,42.62
371.14,54.73
373.28,60.23
375.8,61.34
377.52,57.83
379.8,65.85
381.9,61.25
383.79,61
385.6,54.19
387.43,63.67
389.9,70.14
391.65,57.88
393.85,62.4
396.52,66.79
398.65,74.08
400.83,89.98
404.21,93.63
